id,courseId,title,duration,videoDescription,individualTags,thumbnailUrl,videogUrl,status
V001,C001,Anatomy Driven 運動器「骨学」,〇時間〇分,Anatomy Driven 運動器「骨学」の講座視聴ページです。,"骨,解剖学総論,作用,構造,成分,リモデリング,ランドマーク,形状,関節,可動域",,https://vdg.jp/g19286vj/adbone,/thumbnails/C001.png
V002,C002,ESSENTIAL50,,ESSENTIAL50の講座視聴ページです。,"筋,起始,停止,作用,走行,トレーニング,トリートメント,ストレッチ,リリース",,https://vdg.jp/g19286vj/essential50,/thumbnails/C002.png
V003,C003,The Professional,,The Professionalの講座視聴ページです。,"筋,起始,停止,作用,走行,トレーニング,トリートメント,ストレッチ,リリース,運用,健康,美容,姿勢改善,疼痛改善,スポーツパフォーマンス",,https://vdg.jp/g19286vj/thepro,/thumbnails/C003.png
V004,C004,トップトレーナー・テンプレート,,トップトレーナー・テンプレートの講座視聴ページです。,"セッション設計,テンプレート,プログラム設計,トレーニング,ストレッチ",,https://vdg.jp/g19286vj/ttt,/thumbnails/C004.png
V005,C005,超栄養学,,超栄養学の講座視聴ページです。,"栄養学,食事指導,五大栄養素,ファイトケミカル,食品学,調理学,食器洗い栄養学,買い物栄養学",,https://vdg.jp/g19286vj/chonutri,/thumbnails/C005.png
V006,C006,UNLOCK ANATOMY SKILL,,UNLOCK ANATOMY SKILLの講座視聴ページです。,"コンディショニング,解剖学,マッサージ,スラスト,筋膜リリース,ストレッチ",,https://vdg.jp/g19286vj/unlock,/thumbnails/C006.png
V007,C007,きほんの呼吸 ESSENTIAL,,きほんの呼吸 ESSENTIALの講座視聴ページです。,"呼吸,自律神経,胸郭,横隔膜,姿勢,評価,エクササイズ",,https://vdg.jp/g19286vj/breath,/thumbnails/C007.png
V008,C008,筋膜連結マスター,,筋膜連結マスターの講座視聴ページです。,"解剖学,筋膜連結,筋膜,トレーニング,トリートメント",,https://vdg.jp/g19286vj/kinmaku,/thumbnails/C008.png
V009,C009,栄養を武器にする10時間。,,栄養を武器にする10時間。の講座視聴ページです。,"栄養学,食事指導,五大栄養素,科学的思考法,論文,",,https://vdg.jp/g19286vj/nutri10,/thumbnails/C009.png
V010,C010,系統解剖学－リンパ系の解剖学・マッサージ実技－,,系統解剖学－リンパ系の解剖学・マッサージ実技－の講座視聴ページです。,"リンパ系,浮腫み,むくみ,免疫,マッサージ,手技",,https://vdg.jp/g19286vj/lymph,/thumbnails/C010.png
V011,C011,系統解剖学－皮膚科学の解剖学と美肌アプローチー,,系統解剖学－皮膚科学の解剖学と美肌アプローチーの講座視聴ページです。,"外皮系,皮膚,美肌,美容",,https://vdg.jp/g19286vj/skin,/thumbnails/C011.png
V012,C012,系統解剖学－心臓血管系・泌尿器系・生殖系の解剖学と現場への応用－,,系統解剖学－心臓血管系・泌尿器系・生殖系の解剖学と現場への応用－の講座視聴ページです。,"心臓血管系,泌尿器系,生殖系,尿漏れ,男性機能,女性指導,女性ヘルスケア,免疫,",,https://vdg.jp/g19286vj/cardio,/thumbnails/C012.png
V013,C013,機能的歩行学,,機能的歩行学の講座視聴ページです。,"歩行,歩行指導,姿勢,呼吸,ロッカーファンクション,グランドゲイトサイクル",,https://vdg.jp/g19286vj/gait,/thumbnails/C013.png
V014,C014,身体操作 虎ノ巻,,身体操作 虎ノ巻の講座視聴ページです。,"身体操作,体芯力,脳,神経,大腰筋",,https://vdg.jp/g19286vj/bodyctrl,/thumbnails/C014.png
V015,C015,姿勢改善2.0,,姿勢改善2.0の講座視聴ページです。,"姿勢改善,重心,感覚器,足圧感覚",,https://vdg.jp/g19286vj/posture2,/thumbnails/C015.png
V016,C016,美脚の方程式,,美脚の方程式の講座視聴ページです。,"美脚,下半身痩せ,呼吸,脊柱,自律神経",,https://vdg.jp/g19286vj/leg,/thumbnails/C016.png
V017,C017,ANATOMY CONDITIONING（上肢編）,,ANATOMY CONDITIONING（上肢編）の講座視聴ページです。,"コンディショニング,上肢,肩,肩甲骨,評価,スペシャルテスト",,https://vdg.jp/g19286vj/acset,/thumbnails/C017.png
V018,C018,ANATOMY CONDITIONING（下肢編）,,ANATOMY CONDITIONING（下肢編）の講座視聴ページです。,"コンディショニング,下肢,股関節,膝,足部,評価,スペシャルテスト",,https://vdg.jp/g19286vj/acset2,/thumbnails/C018.png
V019,C019,WOMAN'S BODY JOURNEY,,WOMAN'S BODY JOURNEYの講座視聴ページです。,"女性指導,フェムテック,PMS,産後,更年期",,https://vdg.jp/g19286vj/woman,/thumbnails/C019.png
V020,C020,BEYOND THE ERROR,,BEYOND THE ERRORの講座視聴ページです。,"代償動作,エラー,BIG3,スクワット,ベンチプレス,デッドリフト,コレクティブエクササイズ",,https://vdg.jp/g19286vj/bte,/thumbnails/C020.png
